Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_mobilenetv2_alpha_0.35.onnx,mobilenetv2_alpha_0.35
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,5388
Conv,10838016.0,5419008.0,0,0,0,0,802816,1728.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,128,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,200704,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,3612672.0,1806336.0,0,0,0,0,802816,576.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,128,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,200704,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,3211264.0,1605632.0,0,0,0,0,401408,512.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,64,0
Conv,9633792.0,4816896.0,0,0,0,0,2408448,1536.0,0
BatchNormalization,0,0,602112,0,602112,0,2408448,384,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,602112,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,43200
Conv,2709504.0,1354752.0,0,0,0,0,602112,1728.0,0
BatchNormalization,0,0,150528,0,150528,0,602112,384,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,150528,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,2408448.0,1204224.0,0,0,0,0,100352,1536.0,0
BatchNormalization,0,0,25088,0,25088,0,100352,64,0
Transpose,0,0,0,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,2408448.0,1204224.0,0,0,0,0,602112,1536.0,0
BatchNormalization,0,0,150528,0,150528,0,602112,384,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,150528,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,2709504.0,1354752.0,0,0,0,0,602112,1728.0,0
BatchNormalization,0,0,150528,0,150528,0,602112,384,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,150528,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,2408448.0,1204224.0,0,0,0,0,100352,1536.0,0
BatchNormalization,0,0,25088,0,25088,0,100352,64,0
Transpose,0,0,0,0,0,0,0,0,0
Add,0,0,25088,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,2408448.0,1204224.0,0,0,0,0,602112,1536.0,0
BatchNormalization,0,0,150528,0,150528,0,602112,384,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,150528,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,21696
Conv,677376.0,338688.0,0,0,0,0,150528,1728.0,0
BatchNormalization,0,0,37632,0,37632,0,150528,384,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,37632,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1204224.0,602112.0,0,0,0,0,50176,3072.0,0
BatchNormalization,0,0,12544,0,12544,0,50176,128,0
Transpose,0,0,0,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,2408448.0,1204224.0,0,0,0,0,301056,6144.0,0
BatchNormalization,0,0,75264,0,75264,0,301056,768,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,75264,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1354752.0,677376.0,0,0,0,0,301056,3456.0,0
BatchNormalization,0,0,75264,0,75264,0,301056,768,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,75264,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,2408448.0,1204224.0,0,0,0,0,50176,6144.0,0
BatchNormalization,0,0,12544,0,12544,0,50176,128,0
Transpose,0,0,0,0,0,0,0,0,0
Add,0,0,12544,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,2408448.0,1204224.0,0,0,0,0,301056,6144.0,0
BatchNormalization,0,0,75264,0,75264,0,301056,768,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,75264,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1354752.0,677376.0,0,0,0,0,301056,3456.0,0
BatchNormalization,0,0,75264,0,75264,0,301056,768,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,75264,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,2408448.0,1204224.0,0,0,0,0,50176,6144.0,0
BatchNormalization,0,0,12544,0,12544,0,50176,128,0
Transpose,0,0,0,0,0,0,0,0,0
Add,0,0,12544,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,2408448.0,1204224.0,0,0,0,0,301056,6144.0,0
BatchNormalization,0,0,75264,0,75264,0,301056,768,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,75264,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,21888
Conv,338688.0,169344.0,0,0,0,0,75264,3456.0,0
BatchNormalization,0,0,18816,0,18816,0,75264,768,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,18816,0,0,0,0,0
