Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_nasnet_large.onnx,nasnet_large
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Conv,620928.0,310464.0,0,0,0,0,137984,1584.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1724800.0,862400.0,0,0,0,0,137984,4400.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Conv,1724800.0,862400.0,0,0,0,0,137984,4400.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Add,0,0,34496,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Relu,0,0,0,34496,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,620928.0,310464.0,0,0,0,0,137984,1584.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Conv,620928.0,310464.0,0,0,0,0,137984,1584.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Add,0,0,34496,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
AveragePool,0,0,310464,0,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
AveragePool,0,0,310464,0,0,0,137984,0,0
Add,0,0,34496,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Add,0,0,34496,0,0,0,0,0,0
BatchNormalization,0,0,17248,0,17248,0,68992,704,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,62304
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,107360
Concat,0,0,0,0,0,0,827904,0,0
Relu,0,0,0,206976,0,0,827904,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,60192
Transpose,0,0,0,0,0,0,0,0,0
Slice,0,0,0,0,0,0,827904,0,0
Relu,0,0,0,17248,0,0,68992,0,0
Conv,862400.0,431200.0,0,0,0,0,68992,8800.0,0
Conv,3035648.0,1517824.0,0,0,0,0,68992,30976.0,0
Conv,1690304.0,845152.0,0,0,0,0,68992,17248.0,0
Conv,3035648.0,1517824.0,0,0,0,0,68992,30976.0,0
Relu,0,0,0,206976,0,0,827904,0,0
Transpose,0,0,0,0,0,0,0,0,0
AveragePool,0,0,51744,0,0,0,206976,0,0
Transpose,0,0,0,0,0,0,0,0,0
AveragePool,0,0,51744,0,0,0,206976,0,0
Conv,1690304.0,845152.0,0,0,0,0,68992,17248.0,0
Conv,3035648.0,1517824.0,0,0,0,0,68992,30976.0,0
BatchNormalization,0,0,17248,0,17248,0,68992,704,0
BatchNormalization,0,0,17248,0,17248,0,68992,704,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,36427776.0,18213888.0,0,0,0,0,275968,92928.0,0
Conv,4553472.0,2276736.0,0,0,0,0,34496,46464.0,0
Conv,4553472.0,2276736.0,0,0,0,0,34496,46464.0,0
BatchNormalization,0,0,17248,0,17248,0,68992,704,0
Relu,0,0,0,17248,0,0,68992,0,0
Relu,0,0,0,17248,0,0,68992,0,0
BatchNormalization,0,0,68992,0,68992,0,275968,704,0
Transpose,0,0,0,0,0,0,0,0,0
Relu,0,0,0,68992,0,0,275968,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,62304
Conv,862400.0,431200.0,0,0,0,0,68992,8800.0,0
Conv,3035648.0,1517824.0,0,0,0,0,68992,30976.0,0
BatchNormalization,0,0,17248,0,17248,0,68992,704,0
