Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_densenet169.onnx,densenet169
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,32688
Conv,236027904.0,118013952.0,0,0,0,0,3211264,37632.0,0
BatchNormalization,0,0,802816,0,802816,0,3211264,512,0
Relu,0,0,0,802816,0,0,3211264,0,0
Pad,0,0,0,0,0,0,0,0,115712
MaxPool,0,0,0,1871424,0,0,831744,0,0
Identity,0,0,0,0,0,0,831744,0,0
BatchNormalization,0,0,207936,0,207936,0,831744,512,0
Relu,0,0,0,207936,0,0,831744,0,0
Conv,53231616.0,26615808.0,0,0,0,0,1663488,32768.0,0
BatchNormalization,0,0,415872,0,415872,0,1663488,1024,0
Relu,0,0,0,415872,0,0,1663488,0,0
Conv,239542272.0,119771136.0,0,0,0,0,415872,147456.0,0
Concat,0,0,0,0,0,0,1247616,0,0
BatchNormalization,0,0,311904,0,311904,0,1247616,768,0
Relu,0,0,0,311904,0,0,1247616,0,0
Conv,79847424.0,39923712.0,0,0,0,0,1663488,49152.0,0
BatchNormalization,0,0,415872,0,415872,0,1663488,1024,0
Relu,0,0,0,415872,0,0,1663488,0,0
Conv,239542272.0,119771136.0,0,0,0,0,415872,147456.0,0
Concat,0,0,0,0,0,0,1663488,0,0
BatchNormalization,0,0,415872,0,415872,0,1663488,1024,0
Relu,0,0,0,415872,0,0,1663488,0,0
Conv,106463232.0,53231616.0,0,0,0,0,1663488,65536.0,0
BatchNormalization,0,0,415872,0,415872,0,1663488,1024,0
Relu,0,0,0,415872,0,0,1663488,0,0
Conv,239542272.0,119771136.0,0,0,0,0,415872,147456.0,0
Concat,0,0,0,0,0,0,2079360,0,0
BatchNormalization,0,0,519840,0,519840,0,2079360,1280,0
Relu,0,0,0,519840,0,0,2079360,0,0
Conv,133079040.0,66539520.0,0,0,0,0,1663488,81920.0,0
BatchNormalization,0,0,415872,0,415872,0,1663488,1024,0
Relu,0,0,0,415872,0,0,1663488,0,0
Conv,239542272.0,119771136.0,0,0,0,0,415872,147456.0,0
Concat,0,0,0,0,0,0,2495232,0,0
BatchNormalization,0,0,623808,0,623808,0,2495232,1536,0
Relu,0,0,0,623808,0,0,2495232,0,0
Conv,159694848.0,79847424.0,0,0,0,0,1663488,98304.0,0
BatchNormalization,0,0,415872,0,415872,0,1663488,1024,0
Relu,0,0,0,415872,0,0,1663488,0,0
Conv,239542272.0,119771136.0,0,0,0,0,415872,147456.0,0
Concat,0,0,0,0,0,0,2911104,0,0
BatchNormalization,0,0,727776,0,727776,0,2911104,1792,0
Relu,0,0,0,727776,0,0,2911104,0,0
Conv,186310656.0,93155328.0,0,0,0,0,1663488,114688.0,0
BatchNormalization,0,0,415872,0,415872,0,1663488,1024,0
Relu,0,0,0,415872,0,0,1663488,0,0
Conv,239542272.0,119771136.0,0,0,0,0,415872,147456.0,0
Concat,0,0,0,0,0,0,3326976,0,0
BatchNormalization,0,0,831744,0,831744,0,3326976,2048,0
Relu,0,0,0,831744,0,0,3326976,0,0
Conv,212926464.0,106463232.0,0,0,0,0,1663488,131072.0,0
AveragePool,0,0,430592,0,0,0,430592,0,0
Identity,0,0,0,0,0,0,430592,0,0
BatchNormalization,0,0,107648,0,107648,0,430592,1024,0
Relu,0,0,0,107648,0,0,430592,0,0
Conv,27557888.0,13778944.0,0,0,0,0,430592,65536.0,0
BatchNormalization,0,0,107648,0,107648,0,430592,1024,0
Relu,0,0,0,107648,0,0,430592,0,0
Conv,62005248.0,31002624.0,0,0,0,0,107648,147456.0,0
Concat,0,0,0,0,0,0,538240,0,0
BatchNormalization,0,0,134560,0,134560,0,538240,1280,0
Relu,0,0,0,134560,0,0,538240,0,0
Conv,34447360.0,17223680.0,0,0,0,0,430592,81920.0,0
BatchNormalization,0,0,107648,0,107648,0,430592,1024,0
Relu,0,0,0,107648,0,0,430592,0,0
Conv,62005248.0,31002624.0,0,0,0,0,107648,147456.0,0
Concat,0,0,0,0,0,0,645888,0,0
BatchNormalization,0,0,161472,0,161472,0,645888,1536,0
Relu,0,0,0,161472,0,0,645888,0,0
Conv,41336832.0,20668416.0,0,0,0,0,430592,98304.0,0
BatchNormalization,0,0,107648,0,107648,0,430592,1024,0
Relu,0,0,0,107648,0,0,430592,0,0
Conv,62005248.0,31002624.0,0,0,0,0,107648,147456.0,0
Concat,0,0,0,0,0,0,753536,0,0
BatchNormalization,0,0,188384,0,188384,0,753536,1792,0
Relu,0,0,0,188384,0,0,753536,0,0
Conv,48226304.0,24113152.0,0,0,0,0,430592,114688.0,0
BatchNormalization,0,0,107648,0,107648,0,430592,1024,0
Relu,0,0,0,107648,0,0,430592,0,0
Conv,62005248.0,31002624.0,0,0,0,0,107648,147456.0,0
Concat,0,0,0,0,0,0,861184,0,0
BatchNormalization,0,0,215296,0,215296,0,861184,2048,0
Relu,0,0,0,215296,0,0,861184,0,0
Conv,55115776.0,27557888.0,0,0,0,0,430592,131072.0,0
BatchNormalization,0,0,107648,0,107648,0,430592,1024,0
Relu,0,0,0,107648,0,0,430592,0,0
Conv,62005248.0,31002624.0,0,0,0,0,107648,147456.0,0
Concat,0,0,0,0,0,0,968832,0,0
BatchNormalization,0,0,242208,0,242208,0,968832,2304,0
Relu,0,0,0,242208,0,0,968832,0,0
Conv,62005248.0,31002624.0,0,0,0,0,430592,147456.0,0
BatchNormalization,0,0,107648,0,107648,0,430592,1024,0
Relu,0,0,0,107648,0,0,430592,0,0
Conv,62005248.0,31002624.0,0,0,0,0,107648,147456.0,0
Concat,0,0,0,0,0,0,1076480,0,0
BatchNormalization,0,0,269120,0,269120,0,1076480,2560,0
Relu,0,0,0,269120,0,0,1076480,0,0
Conv,68894720.0,34447360.0,0,0,0,0,430592,163840.0,0
BatchNormalization,0,0,107648,0,107648,0,430592,1024,0
Relu,0,0,0,107648,0,0,430592,0,0
Conv,62005248.0,31002624.0,0,0,0,0,107648,147456.0,0
Concat,0,0,0,0,0,0,1184128,0,0
BatchNormalization,0,0,296032,0,296032,0,1184128,2816,0
Relu,0,0,0,296032,0,0,1184128,0,0
Conv,75784192.0,37892096.0,0,0,0,0,430592,180224.0,0
BatchNormalization,0,0,107648,0,107648,0,430592,1024,0
Relu,0,0,0,107648,0,0,430592,0,0
Conv,62005248.0,31002624.0,0,0,0,0,107648,147456.0,0
Concat,0,0,0,0,0,0,1291776,0,0
BatchNormalization,0,0,322944,0,322944,0,1291776,3072,0
Relu,0,0,0,322944,0,0,1291776,0,0
Conv,82673664.0,41336832.0,0,0,0,0,430592,196608.0,0
BatchNormalization,0,0,107648,0,107648,0,430592,1024,0
Relu,0,0,0,107648,0,0,430592,0,0
Conv,62005248.0,31002624.0,0,0,0,0,107648,147456.0,0
Concat,0,0,0,0,0,0,1399424,0,0
BatchNormalization,0,0,349856,0,349856,0,1399424,3328,0
Relu,0,0,0,349856,0,0,1399424,0,0
Conv,89563136.0,44781568.0,0,0,0,0,430592,212992.0,0
BatchNormalization,0,0,107648,0,107648,0,430592,1024,0
Relu,0,0,0,107648,0,0,430592,0,0
Conv,62005248.0,31002624.0,0,0,0,0,107648,147456.0,0
Concat,0,0,0,0,0,0,1507072,0,0
BatchNormalization,0,0,376768,0,376768,0,1507072,3584,0
Relu,0,0,0,376768,0,0,1507072,0,0
Conv,96452608.0,48226304.0,0,0,0,0,430592,229376.0,0
BatchNormalization,0,0,107648,0,107648,0,430592,1024,0
Relu,0,0,0,107648,0,0,430592,0,0
Conv,62005248.0,31002624.0,0,0,0,0,107648,147456.0,0
Concat,0,0,0,0,0,0,1614720,0,0
BatchNormalization,0,0,403680,0,403680,0,1614720,3840,0
Relu,0,0,0,403680,0,0,1614720,0,0
Conv,103342080.0,51671040.0,0,0,0,0,430592,245760.0,0
BatchNormalization,0,0,107648,0,107648,0,430592,1024,0
Relu,0,0,0,107648,0,0,430592,0,0
Conv,62005248.0,31002624.0,0,0,0,0,107648,147456.0,0
Concat,0,0,0,0,0,0,1722368,0,0
BatchNormalization,0,0,430592,0,430592,0,1722368,4096,0
Relu,0,0,0,430592,0,0,1722368,0,0
Conv,220463104.0,110231552.0,0,0,0,0,861184,524288.0,0
AveragePool,0,0,230400,0,0,0,230400,0,0
Identity,0,0,0,0,0,0,230400,0,0
BatchNormalization,0,0,57600,0,57600,0,230400,2048,0
Relu,0,0,0,57600,0,0,230400,0,0
Conv,14745600.0,7372800.0,0,0,0,0,115200,131072.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,259200,0,0
BatchNormalization,0,0,64800,0,64800,0,259200,2304,0
Relu,0,0,0,64800,0,0,259200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,115200,147456.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,288000,0,0
BatchNormalization,0,0,72000,0,72000,0,288000,2560,0
Relu,0,0,0,72000,0,0,288000,0,0
Conv,18432000.0,9216000.0,0,0,0,0,115200,163840.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,316800,0,0
BatchNormalization,0,0,79200,0,79200,0,316800,2816,0
Relu,0,0,0,79200,0,0,316800,0,0
Conv,20275200.0,10137600.0,0,0,0,0,115200,180224.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,345600,0,0
BatchNormalization,0,0,86400,0,86400,0,345600,3072,0
Relu,0,0,0,86400,0,0,345600,0,0
Conv,22118400.0,11059200.0,0,0,0,0,115200,196608.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,374400,0,0
BatchNormalization,0,0,93600,0,93600,0,374400,3328,0
Relu,0,0,0,93600,0,0,374400,0,0
Conv,23961600.0,11980800.0,0,0,0,0,115200,212992.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,403200,0,0
BatchNormalization,0,0,100800,0,100800,0,403200,3584,0
Relu,0,0,0,100800,0,0,403200,0,0
Conv,25804800.0,12902400.0,0,0,0,0,115200,229376.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,432000,0,0
BatchNormalization,0,0,108000,0,108000,0,432000,3840,0
Relu,0,0,0,108000,0,0,432000,0,0
Conv,27648000.0,13824000.0,0,0,0,0,115200,245760.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,460800,0,0
BatchNormalization,0,0,115200,0,115200,0,460800,4096,0
Relu,0,0,0,115200,0,0,460800,0,0
Conv,29491200.0,14745600.0,0,0,0,0,115200,262144.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,489600,0,0
BatchNormalization,0,0,122400,0,122400,0,489600,4352,0
Relu,0,0,0,122400,0,0,489600,0,0
Conv,31334400.0,15667200.0,0,0,0,0,115200,278528.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,518400,0,0
BatchNormalization,0,0,129600,0,129600,0,518400,4608,0
Relu,0,0,0,129600,0,0,518400,0,0
Conv,33177600.0,16588800.0,0,0,0,0,115200,294912.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,547200,0,0
BatchNormalization,0,0,136800,0,136800,0,547200,4864,0
Relu,0,0,0,136800,0,0,547200,0,0
Conv,35020800.0,17510400.0,0,0,0,0,115200,311296.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,576000,0,0
BatchNormalization,0,0,144000,0,144000,0,576000,5120,0
Relu,0,0,0,144000,0,0,576000,0,0
Conv,36864000.0,18432000.0,0,0,0,0,115200,327680.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,604800,0,0
BatchNormalization,0,0,151200,0,151200,0,604800,5376,0
Relu,0,0,0,151200,0,0,604800,0,0
Conv,38707200.0,19353600.0,0,0,0,0,115200,344064.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,633600,0,0
BatchNormalization,0,0,158400,0,158400,0,633600,5632,0
Relu,0,0,0,158400,0,0,633600,0,0
Conv,40550400.0,20275200.0,0,0,0,0,115200,360448.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,662400,0,0
BatchNormalization,0,0,165600,0,165600,0,662400,5888,0
Relu,0,0,0,165600,0,0,662400,0,0
Conv,42393600.0,21196800.0,0,0,0,0,115200,376832.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,691200,0,0
BatchNormalization,0,0,172800,0,172800,0,691200,6144,0
Relu,0,0,0,172800,0,0,691200,0,0
Conv,44236800.0,22118400.0,0,0,0,0,115200,393216.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,720000,0,0
BatchNormalization,0,0,180000,0,180000,0,720000,6400,0
Relu,0,0,0,180000,0,0,720000,0,0
Conv,46080000.0,23040000.0,0,0,0,0,115200,409600.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,748800,0,0
BatchNormalization,0,0,187200,0,187200,0,748800,6656,0
Relu,0,0,0,187200,0,0,748800,0,0
Conv,47923200.0,23961600.0,0,0,0,0,115200,425984.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,777600,0,0
BatchNormalization,0,0,194400,0,194400,0,777600,6912,0
Relu,0,0,0,194400,0,0,777600,0,0
Conv,49766400.0,24883200.0,0,0,0,0,115200,442368.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,806400,0,0
BatchNormalization,0,0,201600,0,201600,0,806400,7168,0
Relu,0,0,0,201600,0,0,806400,0,0
Conv,51609600.0,25804800.0,0,0,0,0,115200,458752.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,835200,0,0
BatchNormalization,0,0,208800,0,208800,0,835200,7424,0
Relu,0,0,0,208800,0,0,835200,0,0
Conv,53452800.0,26726400.0,0,0,0,0,115200,475136.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,864000,0,0
BatchNormalization,0,0,216000,0,216000,0,864000,7680,0
Relu,0,0,0,216000,0,0,864000,0,0
Conv,55296000.0,27648000.0,0,0,0,0,115200,491520.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,892800,0,0
BatchNormalization,0,0,223200,0,223200,0,892800,7936,0
Relu,0,0,0,223200,0,0,892800,0,0
Conv,57139200.0,28569600.0,0,0,0,0,115200,507904.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,921600,0,0
BatchNormalization,0,0,230400,0,230400,0,921600,8192,0
Relu,0,0,0,230400,0,0,921600,0,0
Conv,58982400.0,29491200.0,0,0,0,0,115200,524288.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,950400,0,0
BatchNormalization,0,0,237600,0,237600,0,950400,8448,0
Relu,0,0,0,237600,0,0,950400,0,0
Conv,60825600.0,30412800.0,0,0,0,0,115200,540672.0,0
BatchNormalization,0,0,28800,0,28800,0,115200,1024,0
Relu,0,0,0,28800,0,0,115200,0,0
Conv,16588800.0,8294400.0,0,0,0,0,28800,147456.0,0
Concat,0,0,0,0,0,0,979200,0,0
BatchNormalization,0,0,244800,0,244800,0,979200,8704,0
Relu,0,0,0,244800,0,0,979200,0,0
